LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
addisababa,MB1-Africa,Addis Ababa University,Ethiopia,,Mulat Asnake Goshu,,,,
affcogUTSC,"MB2,MB-AtHome,MB5",University of Toronto Scarborough,Canada,Affective Cognition Lab,Yang Wu,"Tiffany Doan,Kelly Ma",https://www.yangwulab.com/,,
agakhan,MB1-Africa,Aga Khan University Institute for Human Development,Kenya,,Amina Abubakar,,,,
babellabVienna,"MB3,MB3-NIRS,MB5",University of Vienna,Austria,Psycholinguistisches Labor Babelfisch,Jutta L. Mueller,"Tiziana Srdoc,TIbor Tauzin,Ivonne Weyers,Priscila Borba Borges",https://psy-ling.univie.ac.at/en/,"Language,Brain development,Cognitive development","EEG,Eye-tracking (monitor),fNIRS,Headturn preference,Manual search,""Reaching (e.g., choice task)"""
babydevlabKCU,MB5,Kansas City University,United States,KCU Baby Development Lab,Nicole Zieber,,kcubabydevlab.com,"Face perception,Attention,Social development,Emotion,Body Knowledge","Eye-tracking (monitor),Online studies,Parent surveys,Preferential looking"
babylabAmsterdam,"MB2,MB3,MB3P,MB4,MB4I,MB5",University of Amsterdam,Netherlands,Baby Lab,Ingmar Visser,"Janina Baumer,Mona M. Klau,Rebekka Cebulla,Luiza S.B. Yuan,Martina S. Zaharieva,Magda Matetovici",https://babylabamsterdam.nl/en/,"Attention,Cognitive development,Individual differences","Eye-tracking (monitor),Headturn preference"
babylabBrookes,"MB1,MB1B,MB1G,MB1L,MB5",Oxford Brookes University,United Kingdom,Oxford Brookes Babylab,Nayeli Gonzalez-Gomez,Shannon P. Kong,https://babylab.brookes.ac.uk/,Language,"Central looking time,Eye-tracking (monitor),Headturn preference,Preferential looking,""Reaching (e.g., choice task)"""
babylabChicago,MB2,University of Chicago,United States,Infant Learning and Development Laboratory,Amanda L. Woodward,Alexander Mackiel,https://voices.uchicago.edu/woodwardlab/,,
babylabINCC,"MB2,MB5","Université Paris Cité,CNRS",France,Integrative Neuroscience and Cognition Center,"Olivier Mascaro ,Laurianne Cabrera",Cyann Bernard,https://babylab.incc-paris.fr/en/,,
babylabKingswood,MB1,Western Sydney University,Australia,"Babylab Kingswood, MARCS Babylab",Liquan Liu,,https://www.westernsydney.edu.au/babylab/about,,
babylabKonstanz,MB1,University of Konstanz,Germany,BabySpechLab,Bettina Braun,,https://www.ling.uni-konstanz.de/en/bsl/,,
babylablangEssex,MB1,University of Essex,United Kingdom,,Claire Delle Luche,,https://www.essex.ac.uk/departments/psychology/facilities/centre-for-brain-science/babylab,,
babylabLeiden,"MB1,MB3,MB5",Leiden University,Netherlands,Leiden University Centre for Linguistics (LUCL),Claartje Levelt,Andreea Geambașu,https://www.universiteitleiden.nl/en/research/research-facilities/humanities/babylab#tab-1,"Brain development,Language,Social cognition","Central looking time,Eye-tracking (mobile),fNIRS,Headturn preference,Preferential looking,Live interaction"
babylabLMU,"MB1,MB1L,MB4,MB5",Ludwig-Maximilians-Universität München,Germany,Kinderstudien,Markus Paulus,"Carolina Pletti,Nina-Alisa Kollakowski,Natalie Christner,Sofiya Karnovska",https://www.socialdevlab.org/en/team/prof-dr-markus-paulus/,,
BabyLabMackenzie,"MB3,MB3-NIRS",Mackenzie Presbyerian University,Brazil,Mackenzie Center for Research in Childhood and Adolescence,Ana Osório,,,,
babylabMcMaster,MB5,McMaster University,Canada,McMaster Baby Lab,Gabriel (Naiqi) Xiao,,https://babylab.mcmaster.ca/,,
babylabMPIB,"MB2,MB4",Max Planck Institute for Human Development,Germany,MPIB BabyLab,Annie E. Wertz,Karola Schlegelmilch,https://www.mpib-berlin.mpg.de/institute/laboratories/babylab,,
babylabMrs,MB5,Aix-Marseille Université,France,Le Labo des Minots,Isabelle Dautriche,,https://labodesminots.univ-amu.fr/,,
